bag_id,segment_id,min_x,max_x,min_y,max_y
14,10,416,438,37,65,
14,11,178,208,42,71,
14,12,601,648,44,70,
14,13,91,119,47,78,
14,14,573,592,47,67,
14,15,7,53,48,80,
14,16,468,499,48,93,
14,17,1116,1150,48,73,
14,18,1155,1173,48,73,
14,19,673,724,50,83,
14,20,268,291,53,70,
14,21,1062,1088,55,73,
14,22,1175,1213,55,87,
14,23,384,417,58,87,
14,24,897,914,59,91,
14,25,517,535,60,75,
14,26,926,946,61,76,
14,27,535,588,65,112,
14,28,956,984,66,88,
14,29,229,250,68,116,
14,30,132,170,75,92,
14,31,584,659,78,132,
14,32,776,808,79,109,
14,33,761,776,80,110,
14,34,270,291,88,107,
14,35,987,1013,93,118,
14,36,143,164,96,124,
14,37,1205,1220,97,121,
14,38,1147,1174,99,120,
14,39,346,364,101,120,
14,40,1108,1139,101,126,
14,41,698,726,103,128,
14,42,372,390,106,123,
14,43,665,686,107,123,
14,44,833,858,107,130,
14,45,412,430,108,122,
14,46,794,809,110,131,
14,47,937,960,113,123,
14,48,737,779,114,132,
14,49,1043,1064,114,133,
14,50,106,137,118,153,
14,51,221,242,119,159,
14,52,645,687,125,176,
14,53,781,805,135,164,
14,54,1129,1151,135,168,
14,55,831,861,136,155,
14,56,859,881,138,172,
14,57,533,593,139,177,
14,58,1037,1050,143,166,
14,59,965,980,149,165,
14,60,469,494,154,172,
14,61,61,76,157,174,
15,0,419,443,5,21,
15,1,207,235,6,24,
15,2,1058,1075,6,22,
15,3,1188,1206,7,20,
15,4,1087,1101,10,28,
15,5,359,407,21,91,
15,6,577,616,28,54,
15,7,855,906,29,65,
15,8,525,552,33,71,
15,9,145,199,37,127,
15,10,673,794,37,137,
15,11,1099,1129,38,64,
15,12,404,458,40,81,
15,13,829,841,40,64,
15,14,623,663,44,89,
15,15,1038,1065,46,77,
15,16,129,152,47,80,
15,17,198,231,47,63,
15,18,1156,1175,48,82,
15,19,466,483,49,71,
15,20,333,356,56,100,
15,21,55,101,57,78,
15,22,892,910,58,75,
15,23,279,310,66,86,
15,24,1089,1121,67,126,
15,25,109,135,68,104,
15,26,1050,1073,77,118,
15,27,1181,1205,79,118,
15,28,5,55,90,212,
15,29,1129,1149,92,111,
15,30,1156,1182,96,150,
15,31,237,254,97,113,
15,32,868,888,99,116,
15,33,260,303,100,164,
15,34,896,914,100,127,
15,35,799,834,102,133,
15,36,298,319,104,118,
15,37,496,515,104,138,
15,38,456,481,108,123,
15,39,855,875,113,127,
15,40,1207,1230,113,167,
15,41,59,104,117,140,
15,42,612,655,118,142,
15,43,961,994,118,167,
15,44,455,469,124,151,
15,45,225,255,125,177,
15,46,309,325,127,145,
15,47,1118,1151,128,146,
15,48,579,601,130,147,
15,49,829,866,137,161,
15,50,688,709,139,172,
15,51,903,917,141,158,
15,52,143,174,142,169,
15,53,91,124,145,176,
15,54,1073,1092,145,159,
15,55,372,400,147,169,
15,56,1009,1031,147,172,
15,57,65,85,152,167,
15,58,402,465,157,177,
15,59,1100,1133,159,178,
15,60,1158,1182,160,180,
16,0,802,853,5,22,
16,1,866,883,26,42,
16,2,623,646,29,44,
16,3,209,231,49,60,
16,4,974,1004,52,95,
16,5,46,65,58,73,
16,6,814,827,59,78,
16,7,671,697,76,106,
16,8,33,64,83,100,
16,9,172,204,87,121,
16,10,798,815,87,103,
16,11,473,488,90,110,
16,12,705,726,99,118,
16,13,523,557,101,125,
16,14,920,944,106,153,
16,15,273,290,107,121,
16,16,751,766,110,139,
16,17,648,665,111,128,
16,18,568,609,116,136,
16,19,1060,1078,117,136,
16,20,875,902,122,136,
16,21,697,721,132,148,
16,22,117,134,134,152,
16,23,847,864,140,158,
16,24,724,740,158,179,
16,25,418,433,160,176,
17,0,131,146,20,38,
17,1,220,265,38,68,
17,2,1112,1144,38,78,
17,3,388,729,40,140,
17,4,19,219,41,166,
17,5,879,894,50,66,
17,6,730,872,53,172,
17,7,3,28,61,113,
17,8,319,354,66,131,
17,9,1052,1243,70,130,
17,10,1010,1025,86,106,
17,11,861,940,115,152,
17,12,1124,1143,141,161,
17,13,152,169,143,157,
17,14,662,680,149,163,
17,15,351,372,152,164,
17,16,166,183,156,175,
17,17,187,220,158,172,
18,0,972,988,13,32,
18,1,634,915,48,176,
18,2,999,1104,50,120,
18,3,376,594,51,135,
18,4,1172,1220,57,131,
18,5,940,1016,60,129,
18,6,641,694,62,99,
18,7,108,151,63,110,
18,8,89,335,66,191,
18,9,597,615,85,102,
18,10,922,959,93,125,
18,11,1118,1240,124,174,
18,12,897,926,127,144,
18,13,971,1007,137,151,
18,14,603,629,141,161,
18,15,840,859,158,177,
19,0,771,796,6,17,
19,1,179,222,37,69,
19,2,249,329,48,103,
19,3,1124,1147,49,68,
19,4,1010,1030,51,64,
19,5,167,734,56,243,
19,6,711,732,61,72,
19,7,566,579,63,81,
19,8,1105,1242,66,110,
19,9,87,116,69,95,
19,10,187,229,77,95,
19,11,143,163,80,99,
19,12,337,355,80,97,
19,13,257,280,81,96,
19,14,29,165,99,239,
19,15,753,796,129,179,
19,16,1160,1181,130,144,
19,17,1074,1114,140,180,
19,18,2,32,147,209,
19,19,609,628,149,161,
19,20,804,820,155,173,
19,21,663,705,156,241,
19,22,980,1029,157,239,
19,23,574,594,194,210,
19,24,180,196,220,236,
19,25,143,165,226,244,
19,26,357,391,228,247,
20,0,24,45,6,27,
20,1,85,104,6,31,
20,2,231,260,6,38,
20,3,553,583,6,27,
20,4,419,441,9,22,
20,5,702,727,18,32,
20,6,597,630,23,53,
20,7,1067,1106,25,51,
20,8,314,335,26,54,
20,9,765,793,30,87,
20,10,914,949,31,81,
20,11,268,281,33,51,
20,12,370,423,33,190,
20,13,231,254,34,78,
20,14,567,589,34,52,
20,15,899,917,34,49,
20,16,973,986,34,55,
20,17,1140,1157,37,70,
20,18,159,225,38,138,
20,19,65,116,53,96,
20,20,649,754,53,180,
20,21,895,1110,54,202,
20,22,572,644,59,188,
20,23,457,472,60,75,
20,24,22,89,63,150,
20,25,541,570,65,103,
20,26,658,673,66,82,
20,27,280,305,68,90,
20,28,504,520,71,100,
20,29,1036,1051,75,96,
20,30,946,975,79,111,
20,31,767,801,94,191,
20,32,430,534,96,187,
20,33,1135,1172,96,146,
20,34,987,1022,100,126,
20,35,540,564,104,178,
20,36,820,853,105,136,
20,37,1196,1242,106,181,
20,38,1031,1056,108,123,
20,39,324,344,114,171,
20,40,264,300,121,155,
20,41,844,861,124,159,
20,42,210,239,125,144,
20,43,1095,1113,132,158,
20,44,822,842,144,159,
20,45,1135,1189,154,183,
20,46,895,919,156,178,
20,47,585,598,157,182,
21,0,40,73,6,18,
21,1,304,334,6,45,
21,2,361,391,6,23,
21,3,434,466,6,32,
21,4,1081,1096,6,24,
21,5,1170,1207,6,27,
21,6,518,539,7,25,
21,7,765,815,7,34,
21,8,552,603,8,29,
21,9,263,294,9,40,
21,10,1006,1025,9,39,
21,11,734,750,15,39,
21,12,492,512,20,38,
21,13,152,212,27,76,
21,14,350,377,31,58,
21,15,567,593,31,55,
21,16,613,631,39,56,
21,17,264,281,45,62,
21,18,1115,1134,46,63,
21,19,1022,1050,52,68,
21,20,50,66,59,77,
21,21,803,825,59,75,
21,22,1138,1163,60,86,
21,23,95,133,64,96,
21,24,299,327,67,89,
21,25,417,444,68,98,
21,26,482,502,71,90,
21,27,239,267,73,113,
21,28,1043,1065,74,98,
21,29,764,784,80,120,
21,30,675,700,81,93,
21,31,530,545,82,97,
21,32,848,891,82,109,
21,33,1162,1184,82,107,
21,34,600,655,88,133,
21,35,1187,1213,88,104,
21,36,327,344,90,105,
21,37,660,674,92,109,
21,38,8,25,93,118,
21,39,798,814,101,117,
21,40,1045,1091,101,134,
21,41,36,54,102,135,
21,42,966,985,113,136,
21,43,66,90,116,134,
21,44,355,375,119,139,
21,45,526,541,119,134,
21,46,1124,1147,121,135,
21,47,385,406,132,154,
21,48,635,657,139,165,
21,49,693,710,147,165,
21,50,1127,1139,150,169,
21,51,1192,1210,150,168,
21,52,882,911,164,174,
22,0,715,744,6,22,
22,1,1000,1029,6,17,
22,2,1076,1105,6,17,
22,3,286,300,28,45,
22,4,467,480,48,70,
22,5,306,321,50,72,
22,6,74,98,54,68,
22,7,502,527,61,80,
22,8,145,163,64,84,
22,9,390,417,64,79,
22,10,265,295,70,95,
22,11,349,394,82,138,
22,12,213,247,84,118,
22,13,420,445,89,105,
22,14,634,680,92,111,
22,15,7,29,95,111,
22,16,556,574,100,116,
22,17,438,454,110,125,
22,18,1185,1214,118,131,
22,19,1219,1232,119,138,
22,20,893,921,129,144,
22,21,813,829,136,153,
22,22,150,173,139,162,
22,23,1050,1072,141,154,
22,24,645,667,151,175,
22,25,14,26,152,172,
22,26,392,410,154,167,
22,27,328,359,156,179,
22,28,607,626,159,174,
23,0,629,654,5,24,
23,1,960,981,12,26,
23,2,1018,1051,66,78,
23,3,1097,1125,74,106,
23,4,571,599,75,105,
23,5,537,569,79,93,
23,6,500,524,84,106,
23,7,822,863,85,123,
23,8,940,957,93,113,
23,9,372,388,101,125,
23,10,1180,1211,113,142,
23,11,552,569,114,140,
23,12,191,206,120,139,
23,13,891,916,125,147,
23,14,966,993,126,154,
23,15,1144,1184,131,156,
23,16,418,435,136,150,
23,17,68,110,138,167,
23,18,166,179,139,163,
23,19,615,634,141,157,
23,20,146,165,151,163,
23,21,469,487,153,167,
23,22,863,903,153,169,
23,23,1117,1135,158,171,
24,0,10,76,5,23,
24,1,795,881,5,29,
24,2,541,560,6,18,
24,3,1190,1226,6,18,
24,4,345,421,7,25,
24,5,456,474,7,20,
24,6,872,932,7,36,
24,7,1067,1083,7,23,
24,8,45,128,8,127,
24,9,228,261,8,29,
24,10,646,667,8,28,
24,11,699,720,8,41,
24,12,725,741,8,26,
24,13,1099,1141,8,39,
24,14,1000,1024,10,25,
24,15,593,633,13,60,
24,16,517,573,19,55,
24,17,181,207,21,59,
24,18,828,856,27,62,
24,19,151,264,28,127,
24,20,5,28,31,56,
24,21,1050,1095,32,96,
24,22,646,671,46,83,
24,23,810,915,49,192,
24,24,472,572,55,111,
24,25,707,805,58,115,
24,26,20,33,61,79,
24,27,395,441,62,113,
24,28,1106,1156,63,95,
24,29,229,263,64,89,
24,30,586,608,65,85,
24,31,940,960,67,91,
24,32,330,370,69,151,
24,33,373,391,69,105,
24,34,1165,1208,70,109,
24,35,1203,1241,70,145,
24,36,805,841,72,119,
24,37,303,331,76,98,
24,38,686,700,79,101,
24,39,4,33,80,131,
24,40,267,286,80,108,
24,41,455,473,88,105,
24,42,1074,1088,100,127,
24,43,1053,1068,103,123,
24,44,1075,1120,104,188,
24,45,37,60,109,121,
24,46,973,1011,110,137,
24,47,268,291,111,133,
24,48,170,194,117,136,
24,49,429,464,117,165,
24,50,655,689,121,188,
24,51,763,803,124,163,
24,52,884,922,126,142,
24,53,365,406,128,187,
24,54,583,616,134,162,
24,55,736,754,134,150,
24,56,488,537,136,184,
24,57,146,165,140,164,
24,58,183,206,141,161,
24,59,968,1012,147,162,
24,60,223,240,167,182,
24,61,969,989,200,213,
25,0,300,521,3,249,
25,1,176,284,4,65,
25,2,291,312,4,23,
25,3,524,677,4,83,
25,4,674,879,4,102,
25,5,879,971,4,61,
25,6,971,1007,4,40,
25,7,1074,1170,4,35,
25,8,1180,1241,4,43,
25,9,93,137,5,30,
25,10,1033,1066,5,37,
25,11,44,66,6,33,
25,12,495,520,6,40,
25,13,9,43,7,44,
25,14,1010,1034,7,37,
25,15,147,162,12,27,
25,16,1164,1180,38,55,
25,17,41,66,40,58,
25,18,193,212,44,70,
25,19,169,190,46,83,
25,20,1028,1070,46,85,
25,21,1063,1084,46,81,
25,22,85,127,47,96,
25,23,440,453,51,72,
25,24,847,878,56,74,
25,25,335,368,58,97,
25,26,1221,1240,58,100,
25,27,881,1026,61,178,
25,28,683,697,68,91,
25,29,269,285,70,89,
25,30,1138,1173,71,109,
25,31,732,835,73,193,
25,32,416,431,74,92,
25,33,631,649,74,87,
25,34,110,207,88,196,
25,35,525,550,88,120,
25,36,263,286,92,114,
25,37,340,355,94,113,
25,38,427,452,94,111,
25,39,180,199,95,115,
25,40,1062,1091,95,129,
25,41,203,226,96,112,
25,42,380,416,96,151,
25,43,78,110,98,141,
25,44,289,308,100,119,
25,45,1091,1119,100,122,
25,46,595,612,104,128,
25,47,707,722,104,125,
25,48,555,570,105,136,
25,49,633,652,107,127,
