# you get 2 lines to write a comment about this file. exactly 2.
# second line of comment
num classes=41
feature dim=100
partition=k-fold, 2
---
0,Brown Creeper
1,Pacific Wren
2,Pacific-slope Flycatcher
3,Red-breasted Nuthatch
4,Dark-eyed Junco
5,Olive-sided Flycatcher
6,Hermit Thrush
7,Chestnut-backed Chickadee
8,Varied Thrush
9,Hermit Warbler
10,Swainson's Thrush
11,Hammond's Flycatcher
12,Western Tanager
13,Black-headed Grosbeak
14,Golden Crowned Kinglet
15,Warbling Vireo
16,Yellow-rumped Warbler
17,MacGillivray's Warbler
18,Stellar's Jay
19,Frog species
20,Common Nighthawk
21,Wind
22,Stream Noise
23,Airplane
24,Rain
25,Creature Walking
26,Unidentified Bird
27,Gray Jay
28,Pileated Woodpecker
29,Band-tailed Pigeon
30,Red-breasted Sapsucker
31,Osprey
32,Douglas Squirrel
33,Evening Groskbeak
34,Northern Pygmy-Owl
35,Black-throated Gray Warbler
36,American Robin
37,Sooty Grouse
38,Person Talking
39,Chipmunk
40,Empty Segment
***
index;partition;labelset;featurevector
10;0;;0.000000,0.033333,0.000000,0.000000,0.033333,0.000000,0.000000,0.000000,0.000000,0.033333,0.000000,0.033333,0.033333,0.000000,0.000000,0.000000,0.000000,0.033333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033333,0.000000,0.000000,0.033333,0.000000,0.000000,0.000000,0.033333,0.033333,0.033333,0.000000,0.000000,0.000000,0.066667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033333,0.033333,0.000000,0.000000,0.000000,0.100000,0.033333,0.000000,0.000000,0.033333,0.000000,0.000000,0.000000,0.000000,0.033333,0.000000,0.033333,0.000000,0.000000,0.066667,0.000000,0.000000,0.000000,0.000000,0.033333,0.000000,0.000000,0.033333,0.000000,0.000000,0.000000,0.000000,0.033333,0.000000,0.033333,0.000000,0.000000,0.033333
11;0;25;0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.088235,0.000000,0.000000,0.000000,0.088235,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.029412,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.058824,0.000000,0.029412,0.000000,0.029412,0.000000,0.029412,0.058824,0.000000,0.029412,0.000000,0.029412,0.058824,0.088235,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.058824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000
12;0;3;0.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778,0.027778,0.000000,0.027778,0.000000,0.027778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778,0.000000,0.027778,0.083333,0.000000,0.000000,0.000000,0.027778,0.000000,0.000000,0.000000,0.027778,0.027778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778,0.027778,0.000000,0.000000,0.027778,0.000000,0.027778,0.000000,0.027778,0.000000,0.000000,0.000000,0.027778,0.000000,0.000000,0.027778,0.000000,0.027778,0.000000,0.027778,0.000000,0.000000,0.027778,0.000000,0.000000,0.000000,0.027778,0.000000,0.000000,0.000000,0.055556,0.000000,0.000000,0.027778,0.000000,0.000000,0.027778,0.000000,0.000000,0.000000,0.000000,0.027778,0.027778,0.000000,0.027778,0.000000,0.000000,0.027778,0.000000,0.027778,0.000000,0.000000,0.000000,0.027778
13;0;16,19;0.035714,0.000000,0.000000,0.000000,0.000000,0.000000,0.035714,0.000000,0.035714,0.035714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035714,0.035714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035714,0.000000,0.000000,0.000000,0.035714,0.000000,0.000000,0.000000,0.000000,0.035714,0.000000,0.035714,0.000000,0.000000,0.000000,0.035714,0.035714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035714,0.035714,0.000000,0.000000,0.000000,0.000000,0.000000,0.035714,0.000000,0.000000,0.000000,0.000000,0.000000,0.071429,0.035714,0.000000,0.035714,0.000000,0.000000,0.035714,0.035714,0.035714,0.000000,0.000000,0.000000,0.000000,0.071429,0.000000,0.000000,0.035714,0.071429,0.000000,0.000000,0.000000,0.000000,0.035714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14;0;;0.000000,0.016129,0.016129,0.000000,0.000000,0.032258,0.016129,0.016129,0.000000,0.048387,0.000000,0.016129,0.032258,0.000000,0.016129,0.048387,0.000000,0.032258,0.000000,0.016129,0.016129,0.032258,0.032258,0.000000,0.032258,0.000000,0.016129,0.000000,0.032258,0.000000,0.000000,0.016129,0.000000,0.000000,0.016129,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016129,0.016129,0.000000,0.064516,0.000000,0.000000,0.032258,0.000000,0.000000,0.000000,0.000000,0.016129,0.032258,0.016129,0.000000,0.000000,0.016129,0.000000,0.000000,0.000000,0.016129,0.016129,0.016129,0.016129,0.000000,0.032258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016129,0.032258,0.000000,0.016129,0.000000,0.016129,0.000000,0.016129,0.032258,0.000000,0.000000,0.000000,0.000000,0.032258,0.000000,0.000000,0.032258,0.000000,0.000000,0.000000,0.000000
15;0;;0.016393,0.000000,0.032787,0.016393,0.000000,0.000000,0.016393,0.000000,0.016393,0.000000,0.000000,0.000000,0.000000,0.000000,0.032787,0.000000,0.032787,0.000000,0.016393,0.016393,0.000000,0.016393,0.000000,0.016393,0.016393,0.049180,0.016393,0.000000,0.049180,0.016393,0.016393,0.000000,0.000000,0.032787,0.000000,0.016393,0.000000,0.000000,0.000000,0.000000,0.016393,0.016393,0.000000,0.000000,0.000000,0.016393,0.065574,0.000000,0.016393,0.000000,0.000000,0.000000,0.000000,0.000000,0.016393,0.000000,0.000000,0.000000,0.016393,0.016393,0.016393,0.000000,0.000000,0.016393,0.065574,0.016393,0.000000,0.000000,0.016393,0.016393,0.016393,0.000000,0.016393,0.000000,0.000000,0.032787,0.016393,0.000000,0.000000,0.000000,0.000000,0.032787,0.000000,0.016393,0.000000,0.000000,0.000000,0.000000,0.000000,0.016393,0.000000,0.000000,0.016393,0.000000,0.016393,0.032787,0.000000,0.000000,0.000000,0.016393
16;0;23;0.000000,0.076923,0.076923,0.000000,0.000000,0.000000,0.115385,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038462,0.038462,0.000000,0.000000,0.000000,0.038462,0.000000,0.038462,0.000000,0.000000,0.000000,0.038462,0.000000,0.038462,0.000000,0.038462,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038462,0.038462,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17;0;23;0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,0.000000,0.055556,0.000000,0.000000,0.000000,0.000000,0.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.055556,0.000000,0.000000,0.000000,0.055556,0.000000,0.000000,0.055556,0.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055556,0.055556,0.000000,0.111111,0.000000,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055556,0.000000,0.000000,0.000000,0.000000,0.000000
18;0;2,23;0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062500,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062500,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.062500,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19;0;3,23;0.000000,0.000000,0.037037,0.000000,0.000000,0.000000,0.000000,0.037037,0.000000,0.000000,0.000000,0.000000,0.037037,0.074074,0.000000,0.000000,0.074074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037037,0.000000,0.000000,0.000000,0.000000,0.000000,0.037037,0.000000,0.037037,0.000000,0.000000,0.000000,0.037037,0.000000,0.037037,0.000000,0.000000,0.074074,0.037037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037037,0.037037,0.000000,0.037037,0.000000,0.037037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074074,0.000000,0.074074,0.037037,0.000000,0.037037,0.000000,0.000000,0.000000,0.074074,0.000000
20;0;8,11;0.000000,0.020833,0.020833,0.020833,0.020833,0.000000,0.000000,0.020833,0.000000,0.000000,0.062500,0.020833,0.020833,0.000000,0.041667,0.062500,0.000000,0.000000,0.000000,0.000000,0.062500,0.000000,0.000000,0.020833,0.020833,0.000000,0.000000,0.020833,0.000000,0.020833,0.020833,0.020833,0.020833,0.000000,0.000000,0.020833,0.000000,0.000000,0.000000,0.000000,0.020833,0.000000,0.000000,0.020833,0.000000,0.020833,0.020833,0.000000,0.000000,0.000000,0.020833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041667,0.020833,0.000000,0.020833,0.000000,0.020833,0.020833,0.000000,0.000000,0.020833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041667,0.000000,0.000000,0.041667,0.000000,0.000000,0.000000,0.020833,0.020833,0.000000,0.020833,0.000000,0.000000,0.020833,0.000000,0.020833,0.000000,0.020833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21;0;;0.000000,0.018868,0.037736,0.000000,0.037736,0.000000,0.000000,0.018868,0.000000,0.018868,0.000000,0.037736,0.018868,0.000000,0.018868,0.018868,0.000000,0.000000,0.018868,0.000000,0.000000,0.000000,0.037736,0.000000,0.037736,0.000000,0.000000,0.000000,0.018868,0.018868,0.000000,0.018868,0.000000,0.000000,0.018868,0.000000,0.000000,0.000000,0.018868,0.000000,0.000000,0.000000,0.000000,0.056604,0.000000,0.018868,0.056604,0.000000,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.000000,0.018868,0.000000,0.000000,0.000000,0.018868,0.037736,0.000000,0.000000,0.037736,0.000000,0.018868,0.018868,0.037736,0.000000,0.000000,0.018868,0.037736,0.000000,0.000000,0.037736,0.000000,0.018868,0.018868,0.018868,0.000000,0.000000,0.000000,0.000000,0.018868,0.018868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018868,0.000000,0.000000,0.018868,0.000000,0.000000
22;0;23;0.034483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034483,0.034483,0.034483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034483,0.034483,0.034483,0.034483,0.000000,0.000000,0.000000,0.034483,0.034483,0.000000,0.000000,0.034483,0.000000,0.000000,0.000000,0.000000,0.034483,0.000000,0.034483,0.000000,0.000000,0.000000,0.034483,0.000000,0.034483,0.000000,0.000000,0.103448,0.000000,0.000000,0.034483,0.000000,0.034483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034483,0.000000,0.000000,0.000000,0.000000,0.000000,0.034483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034483,0.034483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034483,0.000000,0.034483,0.000000,0.000000,0.034483,0.000000,0.000000,0.034483,0.000000,0.034483,0.000000,0.000000
23;0;23;0.041667,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041667,0.000000,0.000000,0.000000,0.041667,0.000000,0.000000,0.041667,0.000000,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041667,0.000000,0.000000,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041667,0.000000,0.041667,0.000000,0.041667,0.041667,0.000000,0.000000,0.041667,0.000000,0.000000,0.166667,0.000000,0.000000,0.041667,0.000000,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041667,0.083333,0.000000,0.000000,0.000000,0.041667,0.000000,0.000000
24;0;2,23;0.000000,0.016129,0.000000,0.000000,0.000000,0.032258,0.000000,0.000000,0.032258,0.016129,0.000000,0.000000,0.000000,0.016129,0.016129,0.016129,0.016129,0.000000,0.016129,0.016129,0.000000,0.048387,0.000000,0.016129,0.032258,0.016129,0.000000,0.016129,0.000000,0.032258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016129,0.000000,0.000000,0.016129,0.000000,0.016129,0.032258,0.000000,0.000000,0.000000,0.048387,0.032258,0.016129,0.000000,0.032258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016129,0.016129,0.048387,0.016129,0.000000,0.000000,0.016129,0.016129,0.000000,0.000000,0.016129,0.000000,0.032258,0.000000,0.048387,0.064516,0.000000,0.016129,0.016129,0.000000,0.000000,0.000000,0.016129,0.000000,0.016129,0.000000,0.000000,0.000000,0.000000,0.016129,0.000000,0.000000,0.000000,0.000000,0.000000,0.016129,0.000000,0.016129,0.000000,0.000000,0.016129,0.000000,0.016129
